type	x	y	z	tag	br
DCP	-244	5055.5	2	2	1
DCP	-206	5029.5	2	2	1
DCP	-174	5049.5	3	2	1
DCP	-167	5109.5	-2.5	2	1
DCP	-213	5103.5	-2.5	2	1
DCP	-250	5125.5	-2.5	2	1
DCP	-296	5115.5	-2.5	2	1
DCP	-335	5075.5	6	2	1
DCP	-355	5080.5	6	2	1
DCP	-365	5159.5	6	2	1
DCP	-221	5173.5	6	2	1
DCP	-160	5083.5	5	2	1
DCP	-148	5194	5	2	1
DCP	-177	5248	5	2	1
DCP	-200	5240	5	2	1
DCP	-271	5233	5	2	1
DCP	-292	5187	4.5	2	1
DCP	-319	5249	4.5	2	1
DCP	-359	5309	5	2	1
DCP	-318	5317	5	2	1
DCP	-353	5360	5	2	1
DCP	-368	5414	5	2	1
DCP	-235	5378	5	2	1
DCP	-252	5357	10.5	2	1
DCP	-245	5338	10.5	2	1
DCP	-220	5291	10.5	2	1
DCP	-175	5382	14	2	1
DCP	-248	5450.5	16	2	1
DCP	-180	5472.5	16	2	1
DCP	-323	5455.5	16	2	1
DCP	-337	5458.5	16	2	1
DCP	-220	5523.5	16	2	1
DCP	-253	5547.5	16	2	1
DCP	-238	5554.5	16	2	1
DCP	-159	5556.5	13.5	2	1
DCP	-139	5541.5	13.5	2	1
DCP	-209	5585.5	11	2	1
DCP	-348	5559.5	11	2	1
DCP	-188	5618.5	16	2	1
DCP	-149	5620.5	16	2	1
DCP	-319	5654.5	18	2	1
DCP	-365	5589.5	18	2	1
DCP	-230	5682	17	2	1
DCP	-167	5729	17	2	1
DCP	-209	5731	17	2	1
DCP	-276	5713	17	2	1
DCP	-346	5704	20	2	1
DCP	-359	5710	20	2	1
DCP	-335	5741	20	2	1
DCP	-306	5734	20	2	1
DCP	-232	5760	20	2	1
DCP	-232	5774	20	2	1
DCP	-234	5800	20	2	1
DCP	-135	5771	20	2	1
DCP	-195	5841	25.5	2	1
DCP	-190	5879	25.5	2	1
DCP	-246	5847	25.5	2	1
DCP	-299	5837	25.5	2	1
DCP	-160	5901.5	28.5	2	1
DCP	-213	5913.5	28.5	2	1
DCP	-263	5898.5	28.5	2	1
DCP	-272	5908.5	28.5	2	1
DCP	-361	5907.5	28.5	2	1
DCP	-296	5976.5	31	2	1
DCP	-371	5981.5	31	2	1
DCP	-262	5999.5	31	2	1
DCP	-222	6007.5	31	2	1
DCP	-150	6037.5	31	2	1
DCP	-134	6012.5	31	2	1
